id	city	housenumber	postcode	street	phone_number	cuisine	name	takeaway	website	opening_hours	delivery	Location_id	amenity
430675311	Trento	13	38122	Via Andrea Pozzo		kebab	New Friends Kebab	yes		Mo-Su 11:00-03:00		F45	fastfood
867377379	Trento	7	38122	Via Andrea Pozzo			Fam&Gola					F46	fastfood
1687733871	Trento	6	38122	Via Prepositura		pizza;kebab						F47	fastfood
1366801131	Trento	81	38122	Via del Suffragio		pizza	NonSoloPizza					F48	fastfood
72921865						kebab	La Bottega del Kebab			Mo-Su 08:00-22:30		F49	fastfood
557992526	Trento	12	38122	Largo Nazario Sauro	+39 0461 981300	chinese	La Perla d'Oriente	yes		Mo-Su 10:30-14:30,17:30-22:30		F50	fastfood
814239901	Trento	33/A	38122	Via Alessandro Manzoni		pizza	Pizza Granda	yes		Mo,We-Fr 11:00-15:00,18:00-22:00; Sa,Su 18:00-22:00		F51	fastfood
1666211377	Trento	15	38122	Via Alessandro Manzoni		pizza	#PIZZAROAD		http://www.pizza-road.it/	Mo-Fr 11:00-14:00,18:30-21:30; Sa,Su 18:30-21:30		F52	fastfood
4251314689		21	38122	Via Alessandro Manzoni		italian;deli;pasta	Lo Stuzzicatilly	yes		Su-Fr 09:30-16:00		F53	fastfood
4764819021	Trento	30-Mar	38122	Via Felice e Gregorio Fontana		pizza;kebab	Emy	yes				F54	fastfood
2076852083	Trento	19	38122	Via del Brennero		kebab	Al-Athir			Mo-Su 08:00-01:00		F55	fastfood
7723646124		36/2		Via Ezio Maccani		pizza	Zac e Tac					F56	fastfood
4497466439						burger	McDonald's	yes				F57	fastfood
1226695010	Trento	80	38121	Via Antonio Pranzelores	+39 0461 828282	pizza	Da Andrea	yes		Mo-Fr 11:30-14:30,18:00-22:00;Sa-Su 18:00-22:00		F58	fastfood
3899564057	Trento	111	38121	Via del Brennero	+39 0461 826790	burger	Burger King	yes	https://www.burgerking.it/ristoranti/trento-trento/	Mo-Su 11:00-01:00		F59	fastfood
3999916780	Trento	11	38121	Via Guglielmo Marconi		italian	Pizza All'Angolo					F60	fastfood
365499674	Trento	39/9	38121	Via dei Solteri	+39 0461 829523	pizza	NoFormat		https://www.facebook.com/pizzerianoformat/			F61	fastfood
959911033	Trento	20	38121	Via Renato Lunelli	+39 0461 825594	pizza	Benny					F62	fastfood
2463316762							Roadhouse Grill		http://www.roadhousegrill.it/			F63	fastfood
2858848897	Trento	16	38121	Via Giovanni Battista Trener		pizza	Pizza Smile					F64	fastfood
2311431867						pizza	Pizza Gardolo					F65	fastfood
562715342	Lavis	33	38015	Via Matteotti	+39 0461 240321	pizza	Pizza Granda	yes	http://www.pizzagrandalavis.com/			F66	fastfood
2872204377	Lavis	4	38015	Via Antonio Rosmini		kebab	Break time					F67	fastfood
562715347						pizza	Lavis Pizza					F68	fastfood
4593977000	Zambana	7	38010	Via Trento		pizza;kebab	Pizza Kebab Zambana					F69	fastfood
1754018654	Mezzocorona	24	38016	Piazza San Gottardo		pizza						F70	fastfood
4265067225						pizza;kebab	Golosità					F71	fastfood
289227941	Trento	9/A	38123	Via della Resistenza		pizza	Pizza Rio	yes		Mo-Fr 11:30-14:00,18:00-21:00; Sa-Su 18:00-21:30; PH 18:00-21:30		F72	fastfood
434228673						pizza	Pizzeria d'asporto					F73	fastfood
643873322	Trento	5	38122	Via Gorizia	+39 0461 931663	kebab;pizza	Pizzeria Bella Italia	IT02377600222	http://bellaitalia-trento.it	Mo-Su 11:00-14:30,17:30-22:30		F74	fastfood
2197903908	Trento	53	38122	Via dei Mille			Bar dei Mille					F75	fastfood
1264896580	Trento	24	38122	Via San Bernardino	+39 0461 262095	pizza	Pizza & Pizza	IT02144260227	http://pizzaepizza.altervista.org	Mo-Fr 11:30-14:30,18:00-22:00; Sa,Su 18:00-22:00		F76	fastfood
1934061227						pizza						F77	fastfood
434228673						pizza	Pizzeria d'asporto					F78	fastfood
1204785293	Mattarello	39	38123	Via Giulio Catoni		pizza	L'arte della pizza			Tu-Fr 11:00-13:45,17:30-21:30; Sa,Su 17:00-21:30		F79	fastfood
6239554144		14		Via Guido Poli			Mero Pizza Kebab			Mo, We, Th, Sa 11:30-13:30, 17:30-22:30; Tu Off; Fr, Su 17:30-22:30		F80	fastfood
1889573425							Caneva					F81	fastfood
4313423619			38066			pizza	Mon Amour					F82	fastfood
4315405789						kebab;pizza						F83	fastfood
7726936704		8	38066	Viale Giosuè Carducci		italian;italian_pizza;pizza	Go Pizza			Mo-Su 12:00-14:30,17:30-21:00		F84	fastfood
700335914						kebab	Doner Kebab					F85	fastfood
4751030319						pizza;kebab						F86	fastfood
324160740						pizza	Pronto Pizza					F87	fastfood
8294410170						italian	Pappami					F88	fastfood
1366734598	Rovereto	9C	38068	Borgo Santa Caterina		italian	al Silenzio	yes				F89	fastfood
677962323							CONAD					F90	fastfood
685236438						pizza	Pizza Break La Torretta	IT01734920224				F91	fastfood
692409152						turkish; kebab	New Instanbul	IT02419180225				F92	fastfood
2168813482						pizza	PizzAngolo					F93	fastfood
417409275						kebab	Kebab					F94	fastfood
1457025331	Rovereto	24	38068	Via Mercerie		piadina	PiadinAmore					F95	fastfood
2151026707						pizza	Pizza al volo					F96	fastfood
6210020202	Rovereto	24	38068	Via Mercerie		piadina	Piadinamore	yes			no	F97	fastfood
7164404829	Rovereto	36	38068	Santa Maria	+39 3313533808		Momo's		https://www.facebook.com/Momos-Burger-103939221153685/			F98	fastfood
940954576						pizza	In Teglia Pizza	yes			yes	F99	fastfood
2151038360	Rovereto	12	38068	Corso Bettini		kebab	La Mia Africa	IT02380660221				F100	fastfood
961362760							Waikiki Poké Rovereto	yes			yes	F101	fastfood
899120910						asian	Nawab	yes			yes	F102	fastfood
677962323							CONAD					F103	fastfood
685236438						pizza	Pizza Break La Torretta	IT01734920224				F104	fastfood
2151038360	Rovereto	12	38068	Corso Bettini		kebab	La Mia Africa	IT02380660221				F105	fastfood
961362760							Waikiki Poké Rovereto	yes			yes	F106	fastfood
899120910						asian	Nawab	yes			yes	F107	fastfood
2168751554						kebab						F108	fastfood
3813875433						pizza	Punto Pizza					F109	fastfood
6870007779		14		Via Ergizio Bezzi		kebab	Ilir Kebab	yes				F110	fastfood
6191790557						piadina	Vamolà	yes		Mo-Sa 11:45-14:15,18:30-21:00; Sa-Su 18:15-21:00; PH closed	no	F111	fastfood
6405061138		10/B		Via Balista		pizza	Green Pizza	yes		Mo-Fr 11:00-14:30, 17:30-22:00; Sa, Su 17:30-22:00		F112	fastfood
888908459							Mordi e Fuggi					F113	fastfood
888908460						pizza	La mangiona	yes				F114	fastfood
545783350	Rovereto	2	38068	Via Cimarosa		pizza		only		12:14-18:22	no	F115	fastfood
545783350	Rovereto	2	38068	Via Cimarosa		pizza		only		12:14-18:22	no	F116	fastfood
6191790557						piadina	Vamolà	yes		Mo-Sa 11:45-14:15,18:30-21:00; Sa-Su 18:15-21:00; PH closed	no	F117	fastfood
6405061138		10/B		Via Balista		pizza	Green Pizza	yes		Mo-Fr 11:00-14:30, 17:30-22:00; Sa, Su 17:30-22:00		F118	fastfood
1105959228	Arco	2	38062	Via Frumento			Pizzeria Kebab Kejepi					F119	fastfood
1475075466			38062			pizza	Il Pizzaiolo					F120	fastfood
3934052373							Speedy Pizza	yes				F121	fastfood
4215205792	Borgo Valsugana	16a	38051	Piazza Alcide De Gasperi		pizza	Pizza al Taglio Titti	yes				F122	fastfood
4215203887	Borgo Valsugana	4	38051	Piazzale Dante Alighieri		kebab	Borgo Kebab	yes				F123	fastfood
2133570096	Caldonazzo	13	38052	Piazza Municipio		pizza	Pizza d'Asporto 50 Special	IT03216510242				F124	fastfood
8401768367							Pizza d'asporto 50 Special					F125	fastfood
9144490184							Rosticceria					F126	fastfood
331526697							Pippotto					F127	fastfood
7368915455	Castelnuovo	8	38050	Piazza del Municipio		pizza	Pizza Express					F128	fastfood
1257221143							Pizza Take Away					F129	fastfood
943766910							Polleria					F130	fastfood
945470844	Cles	6	38023	Via Guglielmo Marconi		kebab;pizza	Istanbul Kebap & Pizzeria					F131	fastfood
4020339038	Cles	4	38023	Piazza 1 Maggio		pizza	Al Pagi RistoPub					F132	fastfood
58430604							Da Michele					F133	fastfood
8207147208							Spiki Pizza					F134	fastfood
1204785293	Mattarello	39	38123	Via Giulio Catoni		pizza	L'arte della pizza			Tu-Fr 11:00-13:45,17:30-21:30; Sa,Su 17:00-21:30		F135	fastfood
6239554144		14		Via Guido Poli			Mero Pizza Kebab			Mo, We, Th, Sa 11:30-13:30, 17:30-22:30; Tu Off; Fr, Su 17:30-22:30		F136	fastfood
1754018654	Mezzocorona	24	38016	Piazza San Gottardo		pizza						F137	fastfood
4265067225						pizza;kebab	Golosità					F138	fastfood
885639430	Mezzolombardo	3	38017	Via Arturo De Varda	+39 0461 604336	pizza	Lo Sfizio	yes		Mo Off		F139	fastfood
1427239110	Mezzolombardo	4	38017	Via Arturo De Varda		kebab;pizza	Istanbul Pizza & Kebap	yes				F140	fastfood
1614921129							Rosticceria Girardi					F141	fastfood
1721724932	Mezzolombardo	85	38017	Via Roma	+39 0461 601502	pizza	Mangiamondo	yes	https://www.pizzeriamangiamondo.it/		yes	F142	fastfood
870463242	Mezzolombardo	1/C	38017	Piazza Vittoria	+39 0461 606102	pizza	Pizza Granda	yes	http://pizzagranda.it/	Mo-Sa 11:30-14:30, 18:00-23:30; Su 18:00-23:30		F143	fastfood
303826374							PizzaTime					F144	fastfood
4202862139	Scurelle	10	38050	Via Beniamino Donzelli		pizza	La Saporita	yes				F145	fastfood
666808301	Roncegno Terme	3	38050	Via Trogher			Al Goloso	IT02070210220				F146	fastfood
87032693						pizza						F147	fastfood
2364540530	Andalo	26/A	38010	Via Perli		pizza	La Marenda					F148	fastfood
