id,city,housenumber,postcode,street,contact:email,phone_number,cuisine,name,outdoor_seating,takeaway,website,opening_hours,wheelchair,delivery,smoking,internet_access,diet_vegan,brewery,Location_ID,amenity
431658713,Trento,19,38122,Via degli Orti,info@orsogrigiotrento.com,+39 0461 984400,italian;regional,Orso Grigio,,,http://www.orsogrigiotrento.com/,"Mo-Sa 12:00-14:30,19:30-22:30; Su Off",,,,,,,R34,restaurant
570818625,Trento,14,38122,Via del Simonino,reservation.cadeicobj@gmail.com,+39 0461 262730,pizza;regional,Ca' dei Gobj - Ristorante Birreria,yes,IT02011980220,,"Mo-Su 11:30-14:00,18:30-22:00",yes,,,,,,R35,restaurant
877620656,,,,,,,,Ristorante Patelli,,,,,no,,,,,,R36,restaurant
892579043,Trento,35,38122,Via Dietro le Mura A,uvaementa@yahoo.it,+39 0461 1903162,italian;pizza,Uva & Menta,yes,IT02169000227,http://www.uvaementa.it,"Mo off, Tu-Fr 12:00-14:30,19:00-23:30, Sa-Su 19:00-23:30",no,,no,,,various,R37,restaurant
969087852,Trento,1,38122,Piazza Adamo D'Arogno,domopop.trento@gmail.com,+39 0461 1416669,,Domo,yes,yes,https://www.facebook.com/Domo-Trento-100670871803717/,,,,,,,,R38,restaurant
1062772452,Trento,39,38122,Via Calepina,,+39 0461 262666,fish,Terramia,yes,,https://www.facebook.com/Terramia-Ristorante-1460977600881448/,"Mo Off; Tu-Su 12:00-15:00, 19:00-22:30",,,,,,,R39,restaurant
1312818573,Trento,33,38122,Via Giuseppe Mazzini,,,,Nunu’s,yes,,,,,,,,,,R40,restaurant
1369533422,Trento,28,38122,Via Calepina,,,,Tipico,yes,,,Mo-Su 18:00-23:00,no,,,,,,R41,restaurant
1493571219,,,,,,,,La Stua,Pisoni M. & C SNC,IT01449360229,,,,,,,,,R42,restaurant
1493571353,Trento,1,38122,Via dei Mille,,+39 0461 391118,japanese;thai,Saporoso,Chen E Mei di Zhan Hong Mei,IT01888770227,http://www.ristorantesaporoso.it,,,,,,,,R43,restaurant
4412996446,,,,,,,,Roccaforte Trentina,,,,,,,,,,,R44,restaurant
4952166591,Trento,88,38122,Via Santa Croce,vecchiatrento@gmail.com,+39 0461 235352,indian;pizza,Vecchia Trento,yes,IT02311740225,,,,,,,,,R45,restaurant
430673959,Trento,15,38122,Via Prepositura,,,chinese,Sapori d'Asia,Nuova Asia SAS Xie Bingchu & C.,IT02270970227,,,,,,,,,R46,restaurant
557149998,Trento,4,38122,Via delle Orne,chiste-2011@live.it,+39 0461 262979,neapolitan;pizza;fish,Ristorante Pizzeria Chistè,yes,,,Mo-Su 11:30-23:30,,,,,,,R47,restaurant
885669886,Trento,5,38122,Piazzetta Bruno Lunelli,info@osteriailcappello.it,+39 0461 235850,regional,Osteria il Cappello,,IT01504500222,http://www.osteriailcappello.it/,"Mo-Sa 12:00-14:00,19:30-22:00",,,,,,,R48,restaurant
885670117,Trento,10,38122,Piazzetta Anfiteatro,,,pizza,Ristorante Pizzeria Anfiteatro,,,,,,,,,,,R49,restaurant
1147756663,Trento,38,38122,Via Paolo Oss Mazzurana,fb.trento@forst.it,+39 0461 235590,german,Forsterbräu Trento,yes,IT02212190223,,"Tu-Su 12:00-14:30,18:00-23:00",limited,,,,no,Forst,R50,restaurant
1462796976,Trento,14,38122,Via Malpaga,,+39 0461 262109,japanese,Sushizen,yes,IT02189290220,,,,,,,,,R51,restaurant
8986484117,,,,,,,,Al Diciassette,,,,,,,,,,,R52,restaurant
432473109,,148,,Via Milano,info@doctrento.it,+39 0461 262022,pizza;regional;breakfast;coffee_shop;bavarian;italian;italian_pizza;local;german;friture;seafood;ice_cream;pasta;chicken;sausage;cake;tea,Ristorante Pizzeria Doc,,IT02087800229,http://www.doctrento.it,"Mo-Fr 08:30-14:30, 18:00-00:00; Sa-Su 17:00-00:00",,,,wlan,,,R53,restaurant
853802341,,,,,,,kebab;pizza,Mamma Mia,,,,,,,,,,,R54,restaurant
558628481,,,,,,,italian,Antica Trattoria Due Mori,,,,,,,,,,,R55,restaurant
563754485,Trento,6,38122,Vicolo San Marco,,+39 0461 987197,pizza;regional,Alla Grotta,Gepim s.n.c. di Calzà Stefano & C.,IT01585010224,,"Mo-Sa 12:00-14:30,18:00-24:00",yes,,,,yes,,R56,restaurant
885669909,Trento,6,38122,Vicolo della S.A.T.,,+39 0461 262943,coffee_shop;grill;italian;italian_pizza;local;seafood;pasta;fish;pizza;chicken;fine_dining;cake;noodles;ice_cream;curry,Antico Pozzo,,,http://www.antico-pozzo.it/,"Mo-Su 12:00-14:30, 18:00-24:00",,,,wlan,,,R57,restaurant
1366801084,Trento,13,38122,Via Livio Marchetti,,,,La Sacrestia,,,,,,,,,,,R58,restaurant
1366801107,Trento,22,38122,Via San Marco,,,italian;regional,La cantinotta,,IT02083090221,,"Mo-Su 12:00-15:00,19:00-23:00; Th off; Fr 19:00-23:00",yes,,,,yes,,R59,restaurant
6438863499,,,,,,,fish;italian,Terra Mia,,,,,,,,,,,R60,restaurant
8758596219,Trento,31,38122,Vicolo dell'Adige,soulkitchensrls@gmail.com,,,Soul Kitchen Bistrot,Soul Kitchen S.r.l.s.,IT02482580228,https://soulkitchenbistrot.it/,"Mo 18:00-23:00; Tu-Sa 11:30-14:30,18:00-23:00",,yes,,wlan,,,R61,restaurant
1138738197,Trento,56/A,38122,Corso Michelangelo Buonarroti,,+39 0461 984255,indian;pizza,Welcome India,yes,IT02177180227,http://www.welcomeindia.it/,"Mo-Su 12:00-14:30,18:00-23:30",yes,,,,,,R62,restaurant
269184890,,,,,,,pizza,Acquaefarina pizzaiolo per passione,,,,"Tu-Sa 12:00-14:30,19:00-23:00; Su 19:00-23:00; Mo off",yes,,,,yes,,R63,restaurant
556679636,Trento,29,38122,Via Torre Verde,info@ristorantegreentower.it,+39 0461 231545,pizza;regional,Ristorante Pizzeria Green Tower,Green Tower S.R.L.,IT02305330223,http://www.ristorantegreentower.it,"Tu-Su 12:00-14:30,19:00-02:00; Sa 19:00-02:00",yes,,,,yes,,R64,restaurant
811087138,,,,,,,italian;pizza;regional,Ristorante/Pizzeria Petrarca,,,,,,,,,,,R65,restaurant
877621024,Trento,01-Apr,38122,Via Francesco Petrarca,info@bouganvilletrento.it,+39 0461 236666,italian;pizza,Bouganville,,IT00668510225,http://www.bouganvilletrento.it/,,,,,,,,R66,restaurant
959910997,Trento,7,38122,Via Antonio Gazzoletti,,,italian,Giulia,,,,Mo-Th 11:30-14:15,,,,,no,,R67,restaurant
1633007143,Trento,60,38122,Via Torre Verde,,,,Caracolito,,,,,,,,,,,R68,restaurant
1633007183,Trento,7,38122,Piazzetta Nicolò Rasmo,info@maisondefilip.it,+39 0461 1415530,,La Maison de Filip,yes,,https://www.maisondefilip.it/,,,,,,,,R69,restaurant
2673313358,Trento,20,38122,Via del Suffragio,,+39 0461 096502,italian,Locanda Le Due Travi,yes,,https://www.locandaleduetravi.it/,,,,,,,,R70,restaurant
3849792216,Trento,1,38122,Via Felice e Gregorio Fontana,,,indian,Golden India,,,,,,,,,,,R71,restaurant
269193687,Trento,103,38122,Via della Malvasia,contecosi@yahoo.it,+39 0461 987303,pizza;fish;regional,Pizzeria Vesuvio,,IT00828430223,http://www.alvesuvio.it/,"Mo,We-Su 12:00-14:30,18:00-02:00; Tu off",yes,,,,,,R72,restaurant
468069349,,,,,,,pizza,Ristorante Pizzeria Nuova Castelli,,,,"Mo-Fr 12:00-14:30,18:30-23:30; Sa,Su 18:30-23:30",yes,,,,,,R73,restaurant
2637298757,Trento,2,38122,Via del Brennero,trento@zushi.eu,+39 0461 092263,japanese,Zushi,,IT02303040220,http://www.zushi.eu/,"Tu-Sa 12:00-15:00,18:30-23:00; Su 18:30-23:00",yes,,,,yes,,R74,restaurant
888671469,Trento,19,38121,"Piazza del ""Tridente""",,+39 0461 822287,pizza;regional,Trittico,yes,IT02058490224,,"Mo-Sa 12:00-14:00,18:30-23:00",,,,,,,R75,restaurant
888671476,Trento,260/C,38121,Via del Brennero,,+39 0461 823186,chinese;japanese,China Town,yes,yes,,,yes,,,,,,R76,restaurant
3693890436,Trento,190,38121,Via del Brennero,,,japanese,Shushika,yes,yes,,,,,,,,,R77,restaurant
4213004875,Trento,260/L,38121,Via del Brennero,,,indian;pizza,Zavi Restaurant,,,,,,,,,,,R78,restaurant
5239187880,Trento,111,38121,Via del Brennero,sushilandtrento@gmail.com,+39 0461 1580027,japanese,Sushiland,yes,yes,http://www.sushi-land.it/,"Mo-Su 12:00-15:00,19:00-23:30",,no,,,,,R79,restaurant
1112898194,Trento,320,38121,Via del Brennero,,,,Ciao,,,,Mo-Sa 12:00-14:30,,,,,,,R80,restaurant
1246694600,,,,,,,,Lucaffè,,,,,,,,,,,R81,restaurant
1246694623,,,,,,,,Nord Cafè,,,,,,,,,,,R82,restaurant
2589666378,Trento,4,38121,Via Luigi Brugnara,wok.foryou@libero.it,+39 0461 1596994,chinese;japanese;sushi,Wok For You,,IT02295420224,http://www.wokforyou.it/,"Mo-Su 11:30-14:30,18:30-23:30",,,,,,,R83,restaurant
3755956939,Trento,16/A,38121,Via dei Solteri,,,,VeggyDays,,,,Mo-Sa 07:30-14:30; 18:00-22:00,yes,,,,only,,R84,restaurant
1112898194,Trento,320,38121,Via del Brennero,,,,Ciao,,,,Mo-Sa 12:00-14:30,,,,,,,R85,restaurant
1246694600,,,,,,,,Lucaffè,,,,,,,,,,,R86,restaurant
1246694623,,,,,,,,Nord Cafè,,,,,,,,,,,R87,restaurant
3755956939,Trento,16/A,38121,Via dei Solteri,,,,VeggyDays,,,,Mo-Sa 07:30-14:30; 18:00-22:00,yes,,,,only,,R88,restaurant
895945447,Trento,42,38121,Via Padre Emilio Chiocchetti,ristorantetartufotrento@gmail.com,+39 0461 822233,indian;pizza,Tartufo,Chandi Snc di Singh Nirmal,IT02427640228,,,,,,,,,R89,restaurant
8879333875,Trento,10,38121,Via Padre Emilio Chiocchetti,,,italian,Sapore di Stelle Bistrò,,,,,,,,,,,R90,restaurant
9050734119,,73,,Via Renato Lunelli,,,italian,Detto Fatto,yes,yes,,,,,,,,,R91,restaurant
4379398022,Trento,8,38121,Via 25 Aprile 1945,,,fish;pizza;regional,L'Anfora,Happy Hour S.A.S.,IT02002220222,,,yes,,,,,,R92,restaurant
1272986451,Trento,203,38121,Via Ezio Maccani,,,regional;pizza,Ristorante Pizzeria Smakafam,,,,Mo-Su 07:00-23:00,,,,,,,R93,restaurant
4628941240,Trento,191/D,38121,Via Ezio Maccani,,+39 0461 826673,american,America Graffiti,Novepuntoundici S.r.l.,,http://www.americagraffiti.it,,yes,,,,,,R94,restaurant
4776882840,Trento,40,38121,Via del Commercio,,,,Bar Sirio,yes,,,Mo-Fr 07:00-16:00,,,outside,,,,R95,restaurant
4776882851,Trento,5,38121,Via del Commercio,,,,Bar Spazio Prada,yes,yes,,"Mo-Fr 06:00-21:00, Sa 06:00-15:00",,no,outside,,,,R96,restaurant
1773866574,Trento,4,38121,Via Bassa,,,pizza;regional,Canova,,,,,,,,,,,R97,restaurant
4379398022,Trento,8,38121,Via 25 Aprile 1945,,,fish;pizza;regional,L'Anfora,Happy Hour S.A.S.,IT02002220222,,,yes,,,,,,R98,restaurant
1773866574,Trento,4,38121,Via Bassa,,,pizza;regional,Canova,,,,,,,,,,,R99,restaurant
1404110995,,,,,,,,,,,,,,,,,,,R100,restaurant
37241682,Trento,21,38121,Via Martino Aichner,,+39 0461 990459,pizza;fish,El Merendero,,,,"Mo-Su 12:00-14:00,18:30-23:30; Tu off",,,,,,,R101,restaurant
1979796467,Trento,21,38121,Via San Sebastian,,,,Terminal Ro.La.,,,,,,,,,,,R102,restaurant
6586924485,,,,,,,pizza,Cilli's Pizza,,,,Tu-Su 18:00-22:00,,,,,,,R103,restaurant
177004837,Gardolo,27-Jan,38121,Via Aeroporto,,,regional;italian,dal Birbante,,,,"Mo-Sa 11:30-14:00,18:30-22:00",,,,,,,R104,restaurant
177004779,,,,,,,pizza;italian,Il Dopolavoro,,,,"Tu-Su 12:00-14:30,18:30-23:30",,,,,,,R105,restaurant
7527311775,,,,,,,pizza,Carpe Diem,,,,,,,,,,,R106,restaurant
1350658039,Gardolo,164/B,38121,Via Alto Adige,,+39 0461 993261,pizza;regional,Officina Gambrinus,Magnago Andrea,IT02075900221,http://www.officinagambrinus.com/,,,,,wlan,,,R107,restaurant
562715340,Lavis,2,38015,Piazza Manci,,,pizza;regional,Pizzeria Corona,,,,,,,,,,,R108,restaurant
562715344,,,,,,,,Pizzeria Dolomiti,,,,,,,,,,,R109,restaurant
9208227296,Giovo,,38030,Strada Statale 612 della Val di Cembra,,,regional,Maso Franch,,,,"Mo-Su 12:00-14:30, 19:00-22:00",,,,,,,R110,restaurant
667341321,,,,,,,,Perla d'Oro,,,,,,,,,,,R111,restaurant
37832976,Lavis,46,,Via Rodolofo Zandonai,,,italian,Ristorante Vindimian,,,,,,,,,,,R112,restaurant
355968440,San Michele all'Adige,47,38010,Via Don A. Tamanini,,+39 0461 650699,pizza;regional,Capriccio,"Corazza Barbara, Mauro & C.",IT02160810228,,,,,,,,,R113,restaurant
4695403491,,29,38010,Via Roma,,,regional;italian;pizza;crepe;italian_pizza;local;coffee_shop,Pizzeria Cantuccio,Volkmer Gertrud Karla,,,Tu-Su 11:30-12:00,,,,,,,R114,restaurant
75310719,Grumo,39,38010,Via G. Postal,ristorantedapino@ristorantedapino.it,+39 0461 650435,italian;regional;pizza,Ristorante da Pino,Moresco DAnilo e Caset Luciana,IT00600320220,http://www.ristorantedapino.it/,Mo Off,,,,,,,R115,restaurant
267649391,,,,,,,pizza,Pizzeria Al Caminetto,,,,,,,,,,,R116,restaurant
2881985266,Mezzocorona,29,38010,Piazza della Chiesa,,+39 0461 603823,pizza;regional,Da Demetrio,yes,IT00658870225,,,,,,,,,R117,restaurant
4657167767,Mezzocorona,4,38016,Piazza San Gottardo,,+39 0461 601710,,Trattoria Dolce Spina,,,https://www.facebook.com/Dolce-Spina-Mezzocorona-277694462347714/,,,,,,,,R118,restaurant
583550447,Trento,65,38122,Via alle Laste,info@pizzerialaste.it,+39 0461 231570,pizza,Pizzeria Laste,,IT01424840229,http://www.pizzerialaste.it/,"Mo-Su 11:30-14:00,18:30-23:00; Tu off",,,,,,addr:number: il sito dà come numero civico il 63. verificare,R119,restaurant
292021580,Trento,36,38121,Via San Vito,,+39 0461 987031,pizza,Pizzeria Quattro Stagioni,Ristoranti Trentini Associati srl,IT00582810222,,Tu-Su 12:00-14:00; Tu-Su 18:30-23:00,yes,,,,,,R120,restaurant
909818124,Trento,123,38122,Via Venezia,,,pizza,Korallo,,,,,,,no,,,,R121,restaurant
247887464,,,,,,,,Pizzeria Al Villaggio,,,,,,,,,,,R122,restaurant
945021956,Trento,79,38121,Via Ponte Alto,,,italian,Cacio & Pepe,,yes,,,,,outside,,,,R123,restaurant
288938675,Trento,10,38123,Via Sommarive,,,pizza,Pizzeria OroStube,,,,,yes,,,,,,R124,restaurant
7595406510,,,,,,,pizza;italian,Mensa e pizzeria Povo 0,,,,Mo-Fr 11:45-14:30,,,,,,,R125,restaurant
289225782,Povo,14,38123,Piazza Giannatonio Manci,,,pizza,Pizzeria Salesà,,,,,limited,,,,,,R126,restaurant
275318465,,,,,,,italian,Mensa Povo 1,,,,Mo-Fr 11:45-14:30,,,,,,,R127,restaurant
441414833,,,,,,,indian,Ristorante Bar Pizzeria,,yes,,,,,,,,,R128,restaurant
37103877,,,,,,,italian,"Bar Ristorante ""alla Baracca""",,,,,,,,,,,R129,restaurant
428644278,Trento,62,38122,Via Gocciadoro,,,italian,Ristorante Loto S.r.l.,,,,,,,separated,,,,R130,restaurant
430531035,Trento,73,38123,Viale Verona,,+39 0461 910076,pizza,Blue Sax,,IT00668940224,,Su Off,,,,,,,R131,restaurant
432473109,,148,,Via Milano,info@doctrento.it,+39 0461 262022,pizza;regional;breakfast;coffee_shop;bavarian;italian;italian_pizza;local;german;friture;seafood;ice_cream;pasta;chicken;sausage;cake;tea,Ristorante Pizzeria Doc,,IT02087800229,http://www.doctrento.it,"Mo-Fr 08:30-14:30, 18:00-00:00; Sa-Su 17:00-00:00",,,,wlan,,,R132,restaurant
3318400861,Trento,33,38123,Via Padre Eusebio Chini,,,pizza,Pizza Planet,,,,,,,,,,,R133,restaurant
441414833,,,,,,,indian,Ristorante Bar Pizzeria,,yes,,,,,,,,,R134,restaurant
1905543727,Mattarello,106,38123,Via Giulio Catoni,info@anticastellatrento.com,+39 0461 944401,steak_house;burger;pizza;cotoletteria,Antica Stella,Andrea Pasquazzo,IT01897590228,http://www.anticastellatrento.com/,"Mo-Sa 12:00-14:00, 19:00-23:00; Th Off; Su 19:00-23:00",,,,,,,R135,restaurant
7661120689,,,,,,,,Mensa scolastica,,,,,,,,,,,R136,restaurant
3090950106,,,,,,,,Ciccia & birra,,,,,,,,,,,R137,restaurant
3803736242,,,,,,,italian,Villa Bertagnolli,,,,,,,,,,,R138,restaurant
955304924,Mattarello,46,38123,Via Pomeranos,,,pizza;indian;italian,Ristorante pizzeria Torrefranca,,IT02349630224,,"Mo off; Tu-Su 10:00-14:30,18:00-23:30",,,,,,,R139,restaurant
755622315,,,,,,,pizza,Pizzoteca,,,,,,,,,,,R140,restaurant
1889564709,Riva del Garda,20,38066,Viale Trento,,,pizza,PizzaExpress,,,,Mo-Su 09:00-23:00,,,,,,,R141,restaurant
491426469,Riva del Garda,16,38066,Piazza Catena,,,italian,Nazionale,,,,,,,,,,,R142,restaurant
1889573421,,,38066,Piazza San Rocco,,,regional,Osteria il Gallo,,,,,yes,,,,,,R143,restaurant
803487776,Riva del Garda,28,,Via Fiume,,,italian,Leon D'Oro,,,,,,,,,,,R144,restaurant
1889567042,Riva del Garda,1,38066,Via Bastione,,,italian,Osteria la Contrada,,,,,,,,,,,R145,restaurant
1904668687,,15,,Via Fiume,,,,Pizzeria Trieste,,,,,,,,,,,R146,restaurant
2348266717,,,,,,,italian,Ristorante Villetta Annessa,,,,,,,,,,,R147,restaurant
4315381290,,38,38066,Via Fiume,,,chinese,Lago d'oro,,,,,,,,,,,R148,restaurant
4945613322,,,,,,,chinese,Ristorante Lago d'oro,,,,,,,,,,,R149,restaurant
5115929421,,23,38066,Piazza Tre Novembre,,,italian,Benacense,,,,,,,,,,,R150,restaurant
6525475785,,,,,,,regional,Antiche Mura,yes,,,"Mo-Su 12:00-14:00,19:00-22:00",no,,,,,,R151,restaurant
926736174,Riva del Garda,27,,Piazza Tre Novembre,,,italian,Hotel Centrale,,,,,+39 0464 552138,,,wlan,,,R152,restaurant
1889573422,Riva del Garda,4,38066,Lungolago Marinai d'Italia,,,,Ristorante Bellavista,yes,IT02353150226,,,,,,,,,R153,restaurant
1889573423,,,,,,,,Ristorante Sole,,,,Mo-Su 11:30-22:30,yes,,,,,,R154,restaurant
3580612001,,,,,,,,Nuovo 900,,,,,limited,,,,,,R155,restaurant
5306731417,Riva del Garda,5,38066,Via Florida,,,regional;italian,Salsamenteria Capolini,,,,,,,,,,,R156,restaurant
6818200786,,,,,,,italian_pizza,Ristorante Sud Cucina e Pizza Napoletana,,,,"Mo-Su 12:00-14:30, 18:30-22:30",,,,,,,R157,restaurant
1488553673,,,,,,,,Villa Aranci,,,,,,,,,,,R158,restaurant
6525469986,,10,,Viale Giosuè Carducci,,,,Il Re della Busa,,,,,,,,,,,R159,restaurant
803634498,,29,,Via A. Diaz,,,,Bella Napoli,,,,,,,,,,,R160,restaurant
1302018429,,,,,,,italian,Pizzeria La Leonessa,,,,,,,,,,,R161,restaurant
1444891925,Riva del Garda,73,38066,Via Fiume,,,italian,Al Volt,,,,,,,,,,,R162,restaurant
1706915650,,,,,,,,La Sirenetta,,,,,,,,,,,R163,restaurant
1889561976,Riva del Garda,7,38066,Viale Martiri XXVIII Giugno,,,japanese,Sushoku,,IT02310530205,,Mo-Su 12:00-15:00; 18:00-24:00,,,,,,,R164,restaurant
1889566663,,,,,,,,,,,,,,,,,,,R165,restaurant
1904436954,Riva del Garda,7,38066,Via Andrea Maffei,,,italian,Ristorante Maffei,,,,,limited,,,wlan,,,R166,restaurant
1904668666,,,38066,Via Santa Maria,,,italian,Al Vaticano,,,,,yes,,,,,,R167,restaurant
2874104631,,,38066,,,,,Alpino,,,,,,,,,,,R168,restaurant
2874104632,,,38066,,,,bavarian;german,Kapuziner am See,,,,,,,,,,,R169,restaurant
2887488211,Riva del Garda,16,38066,Viale Roma,,,italian,San Marco cafè,,yes,,7:00 - 20:30,,,outside,,,,R170,restaurant
4165217023,Riva del Garda,11,38066,Viale Roma,,,sandwich,Panem,yes,,,,,,,,no,,R171,restaurant
5852010719,,,38066,,,,,Ristorante pizzeria Commercio,,,,,,,,,,,R172,restaurant
5852016632,,,38066,,,,,Ristorante pizzeria Mediterraneo,,,,,,,,,,,R173,restaurant
5934459988,,,,,,,wrap,La Piadineria,yes,,,,yes,,,,,,R174,restaurant
8806886940,Riva del Garda,14,38066,Via Lutti,,,sushi,Zuin,,,,,,,,,,,R175,restaurant
9019234103,Riva del Garda,7,38066,Via Pilati,,,pizza,Pizzeria Officina 33,,,,,,,,,,,R176,restaurant
9025816144,,,,,,,pizza,,,,,,,,,,,,R177,restaurant
4746320522,Riva del Garda,1,38066,Via Padova,,,chinese;japanese,Sushiko,,IT06556540489,,"Mo-Su 12:00-15:00, 18:30-23:30",,,,,,,R178,restaurant
6856716373,Riva del Garda,5,38066,Via Padova,,,italian;steak_house,La Scala Bistrò /=\,,,,08:00 - 23:15,yes,,,wlan,,various,R179,restaurant
